"ER000157","MSTD","MST","ERVL-MaLR","chr1",210894577,210894913
"ER000158","LTR14B","HERVK14","ERVK","chr1",211025540,211026105
"ER000159","MER51A","MER51","ERV1","chr1",214826582,214827155
"ER000160","MLT2A1","ERVL","ERVL","chr1",216137487,216137855
"ER000161","MER52C","MER52","ERV1","chr1",220462816,220464050
"ER000162","HERVL40","HERVL40","ERVL","chr1",220594081,220594180
"ER000163","MLT1H1","MLT1","ERVL-MaLR","chr1",224264149,224264244
"ER000164","MLT1A0","MLT1","ERVL-MaLR","chr1",224526224,224526524
"ER000165","LOR1","LOR1","ERV1","chr1",224657358,224657409
"ER000166","THE1C","THE1","ERVL-MaLR","chr1",224788342,224788710
"ER000167","MER51A","MER51","ERV1","chr1",224919443,224919947
"ER000168","MLT2B5","ERVL","ERVL","chr1",227409895,227409935
"ER000169","MLT1B","MLT1","ERVL-MaLR","chr1",228720388,228720750
"ER000170","MSTB1","MST","ERVL-MaLR","chr1",229375887,229376113
"ER000171","MER39B","MER39","ERV1","chr1",230162423,230163081
"ER000172","MER65","MER65","ERV1","chr1",230555496,230555758
"ER000173","MER31A","MER31","ERV1","chr1",230817419,230817800
"ER000174","MLT1N2","MLT1","ERVL-MaLR","chr1",233045603,233046044
"ER000175","LTR10C","HERVI","ERV1","chr1",233177044,233177630
"ER000176","MLT1L","MLT1","ERVL-MaLR","chr1",234487456,234487995
"ER000177","LTR89","LTR89","ERVL?","chr1",235667245,235667501
"ER000178","MSTB1","MST","ERVL-MaLR","chr1",239205559,239207131
"ER000179","MLT1D","MLT1","ERVL-MaLR","chr1",239337125,239337517
"ER000180","HERVH","HERVH","ERV1","chr1",241434292,241438221
"ER000181","MER41B","MER41","ERV1","chr1",241696323,241696958
"ER000182","MER65A","MER65","ERV1","chr1",242876404,242876615
"ER000183","MER4","MER4","ERV1","chr1",248774252,248774896
"ER000184","MLT1K","MLT1","ERVL-MaLR","chr1",21949,22075
"ER000185","MLT1A","MLT1","ERVL-MaLR","chr1",30694,30848
"ER000186","MLT1A","MLT1","ERVL-MaLR","chr1",30953,31131
"ER000187","MLT1J2","MLT1","ERVL-MaLR","chr1",34565,34921
"ER000188","MLT1E1A","MLT1","ERVL-MaLR","chr1",38256,39464
"ER000189","MLT1E1A","MLT1","ERVL-MaLR","chr1",39465,39623
"ER000190","MLT1E1A","MLT1","ERVL-MaLR","chr1",39925,40294
"ER000191","LTR16C","HERV16","ERVL","chr1",40736,40878
"ER000192","ERV3-16A3","ERV3-16A3","ERVL","chr1",41394,42273
"ER000193","LTR12F","ERV9","ERV1","chr1",46416,46493
"ER000194","LTR89","LTR89","ERVL?","chr1",70504,70712
"ER000195","LTR103b","LTR103b","ERV1?","chr1",87423,87493
"ER000196","MLT1H2","MLT1","ERVL-MaLR","chr1",89859,90056
"ER000197","MLT1H2","MLT1","ERVL-MaLR","chr1",90443,90576
"ER000198","MER4D1","MER4","ERV1","chr1",91609,91677
"ER000199","MER4CL34","MER4CL34","ERV1","chr1",91678,92110
"ER000200","MER4D1","MER4","ERV1","chr1",92114,92392
