"L10000002","chr1","L1MB5","L1",25166380,25165804
"L10000003","chr1","HAL1","L1",50332274,50331337
"L10000004","chr1","L1MA9","L1",75497775,75496058
"L10000005","chr1","L1PA4","L1",100669120,100662982
"L10000006","chr1","L1PA8A","L1",176160805,176160334
"L10000007","chr1","L1MC4","L1",209715895,209715127
"L10000008","chr1","L1MDb","L1",243269808,243269607
"L10000009","chr1","L1MC1","L1",4194957,4194010
"L10000010","chr1","L1M6","L1",37748852,37748465
"L10000011","chr1","L1PA2","L1",49288376,49282508
"L10000012","chr1","L1MC5a","L1",52428856,52428794
"L10000013","chr1","L1PA2","L1",74449467,74448282
"L10000014","chr1","L1MA9","L1",79691845,79690953
"L10000015","chr1","L1MA3","L1",80741304,80739912
"L10000016","chr1","L1MD1","L1",103809553,103808755
"L10000017","chr1","HAL1","L1",114297115,114294733
"L10000018","chr1","L1PB1","L1",146805199,146798614
"L10000019","chr1","L1MA4A","L1",153092475,153091654
"L10000020","chr1","L1MB1","L1",168820955,168820617
"L10000021","chr1","L1PB3","L1",175112368,175111517
"L10000022","chr1","L1MB8","L1",178258012,178257871
"L10000023","chr1","L1MEf","L1",191890046,191889405
"L10000024","chr1","L1PA13","L1",193986874,193986288
"L10000025","chr1","L1PB3","L1",195035382,195031264
"L10000026","chr1","L1ME1","L1",196084143,196083521
"L10000027","chr1","L1PA17","L1",210765411,210761276
"L10000028","chr1","L1ME4c","L1",231735364,231735259
"L10000029","chr1","L1MB1","L1",233833126,233830534
"L10000030","chr1","L1ME2","L1",238027121,238026294
"L10000031","chr1","L1MA2","L1",239078057,239071919
"L10000032","chr1","L1MB3","L1",240124189,240123646
"L10000033","chr1","L1MA9","L1",247464137,247463545
"L10000034","chr1","L1MC3","L1",262346,261386
"L10000035","chr1","L1MC5a","L1",655449,652108
"L10000036","chr1","L1MB8","L1",6947377,6946482
"L10000037","chr1","L1ME3E","L1",14549204,14548879
"L10000038","chr1","L1MC3","L1",16122190,16121821
"L10000039","chr1","L1PA8","L1",17170547,17170323
"L10000040","chr1","L1MDa","L1",18219077,18218622
"L10000041","chr1","L1MEd","L1",19136713,19135635
"L10000042","chr1","L1M5","L1",20316234,20316117
"L10000043","chr1","L1MC4","L1",21758185,21757830
"L10000044","chr1","L1MB3","L1",24248527,24248178
"L10000045","chr1","L1MB3","L1",27918680,27918177
"L10000046","chr1","L1MC3","L1",29491396,29490998
"L10000047","chr1","L1PA3","L1",33292710,33290092
"L10000048","chr1","L1ME4b","L1",34996370,34995830
"L10000049","chr1","L1MB8","L1",35258380,35258311
"L10000050","chr1","L1MEf","L1",35782693,35782279
"L10000051","chr1","L1MD2","L1",37224489,37223518
"L10000052","chr1","L1PB1","L1",38409352,38402816
"L10000053","chr1","L1ME1","L1",38666261,38665223
"L10000054","chr1","L1PA2","L1",40370869,40365614
"L10000055","chr1","L1PA6","L1",41552216,41548888
"L10000056","chr1","L1MCa","L1",42074372,42071198
"L10000057","chr1","L1MC4","L1",42729528,42729448
"L10000058","chr1","L1PA11","L1",43778443,43777831
"L10000059","chr1","HAL1","L1",45220604,45219635
"L10000060","chr1","L1PA17","L1",46792859,46791935
"L10000061","chr1","L1PA7","L1",46925855,46922303
"L10000062","chr1","L1PA4","L1",47057316,47052914
"L10000063","chr1","L1PA3","L1",48369929,48363804
"L10000064","chr1","L1PA3","L1",49940864,49934842
"L10000065","chr1","L1MA4A","L1",57541121,57540171
"L10000066","chr1","L1ME2z","L1",57933901,57933427
"L10000067","chr1","L1MA9","L1",60425333,60424121
"L10000068","chr1","L1ME1","L1",60555716,60554792
"L10000069","chr1","L1ME3B","L1",62521693,62521267
"L10000070","chr1","L1MEg","L1",65274301,65273610
"L10000071","chr1","L1MA9","L1",65667131,65665347
"L10000072","chr1","L1P1","L1",66322694,66321618
"L10000073","chr1","L1MB7","L1",67895835,67894847
"L10000074","chr1","L1PA11","L1",68553335,68547222
"L10000075","chr1","L1PA4","L1",68687636,68681499
"L10000076","chr1","L1MEg","L1",72614603,72613675
"L10000077","chr1","L1PA11","L1",73007241,73006888
"L10000078","chr1","L1MEg","L1",73531527,73531109
"L10000079","chr1","L1MC1","L1",73663250,73661847
"L10000080","chr1","L1MB7","L1",74055805,74055227
"L10000081","chr1","L1MEc","L1",74318273,74317738
"L10000082","chr1","L1M3a","L1",75367953,75365726
"L10000083","chr1","L1MC5","L1",76416030,76414570
"L10000084","chr1","L1MB4","L1",76677454,76677009
"L10000085","chr1","L1ME3F","L1",77070480,77069194
"L10000086","chr1","L1MEg","L1",77332588,77332104
"L10000087","chr1","L1PB1","L1",77857261,77853897
"L10000088","chr1","L1MB5","L1",78382022,78380588
"L10000089","chr1","L1ME2","L1",78775259,78774153
"L10000090","chr1","L1ME1","L1",79299127,79298441
"L10000091","chr1","L1MEg2","L1",80609446,80608888
"L10000092","chr1","L1MA5","L1",81397313,81395195
"L10000093","chr1","L1PA11","L1",82444541,82444103
"L10000094","chr1","L1PA3","L1",83231194,83230405
"L10000095","chr1","L1MC4","L1",84541950,84540966
"L10000096","chr1","L1ME3","L1",84672603,84672438
"L10000097","chr1","L1M1","L1",85590110,85587789
"L10000098","chr1","L1MEg","L1",85721502,85720773
"L10000099","chr1","L1ME3C","L1",85852814,85851072
"L10000100","chr1","L1PA2","L1",88347867,88341843
"L10000101","chr1","L1M1","L1",88736365,88735462
"L10000102","chr1","L1PA4","L1",89522557,89521050
"L10079711","chr2","L1M5","L1",30209069,30208986
"L10079712","chr2","L1M5","L1",30209432,30209149
"L10079713","chr2","L1M5","L1",30211914,30211869
"L10079714","chr2","L1M5","L1",30212561,30212226
"L10079715","chr2","L1MEh","L1",30212811,30212629
"L10079716","chr2","L1MEh","L1",30213246,30212948
"L10079717","chr2","L1MD","L1",30215276,30215219
"L10079718","chr2","L1ME3Cz","L1",30216795,30215347
"L10079719","chr2","L1ME4a","L1",30242222,30241794
"L10079720","chr2","L1ME4a","L1",30242246,30242232
"L10079721","chr2","L1ME4a","L1",30242967,30242543
"L10079722","chr2","L1M4","L1",30261279,30261133
"L10079723","chr2","L1PA8","L1",30261560,30261280
"L10079724","chr2","L1M4","L1",30262140,30261561
"L10079725","chr2","L1ME4c","L1",30265287,30265156
"L10079726","chr2","L1ME3","L1",30269940,30269724
"L10079727","chr2","L1MB4","L1",30275631,30275127
"L10079728","chr2","L1MB4","L1",30275959,30275943
"L10079729","chr2","L1MEc","L1",30284822,30284744
"L10079730","chr2","L1MEc","L1",30286130,30285131
"L10079731","chr2","L1MEc","L1",30287062,30286435
"L10079732","chr2","L1MC2","L1",30291692,30291521
"L10079733","chr2","L1MC2","L1",30292052,30291998
"L10079734","chr2","L1ME1","L1",30298945,30298164
"L10079735","chr2","L1ME1","L1",30300102,30299252
"L10079736","chr2","L1ME3Cz","L1",30300890,30300713
"L10079737","chr2","L1PA7","L1",30329943,30329615
"L10079738","chr2","L1MC5","L1",30343147,30342858
"L10079739","chr2","L1MC5","L1",30343696,30343661
"L10079740","chr2","L1PA16","L1",30370749,30370626
"L10079741","chr2","L1MB4","L1",30376420,30376008
"L10079742","chr2","HAL1","L1",30379233,30379045
"L10079743","chr2","L1ME4a","L1",30379483,30379289
"L10079744","chr2","L1M5","L1",30387359,30387269
"L10079745","chr2","L1M5","L1",30387642,30387441
"L10079746","chr2","L1ME3E","L1",30387833,30387694
"L10079747","chr2","L1M5","L1",30388169,30388106
"L10079748","chr2","L1MB2","L1",30392408,30392290
"L10079749","chr2","L1MC5a","L1",30397467,30397335
"L10079750","chr2","L1MC5a","L1",30397984,30397778
"L10079751","chr2","L1MB8","L1",30399041,30398962
"L10079752","chr2","L1PB4","L1",30399551,30399398
"L10079753","chr2","L1MB7","L1",30415984,30414606
"L10079754","chr2","L1MA8","L1",30417828,30417745
"L10079755","chr2","L1MA8","L1",30418322,30417961
"L10079756","chr2","L1MA8","L1",30419245,30418630
"L10079757","chr2","L1ME4c","L1",30419520,30419448
"L10079758","chr2","L1ME4c","L1",30420392,30419849
"L10079759","chr2","L1M4","L1",30430677,30429923
"L10079760","chr2","L1M4","L1",30431021,30430989
"L10079761","chr2","L1MC4","L1",30431612,30431338
"L10079762","chr2","L1ME1","L1",30432360,30432008
"L10079763","chr2","L1ME1","L1",30432824,30432441
